first-name,last-name,constituency,party,mp-since,entry-start-date,entry-end-date,id,identity,source-description,source-date,source-url,notes,image-source,image-source-url,image-license,image-license-url
Ben,Howlett,Bath,Conservative,2015-05-08,2015-05-08,2017-05-03,4445,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,Wikipedia,"https://commons.wikimedia.org/wiki/File:Ben_Howlett,_2015_hustings.JPG",Attribution-ShareAlike 4.0 International (CC BY-SA 4.0),https://creativecommons.org/licenses/by-sa/4.0/deed.en
Margot,James,Stourbridge,Conservative,2010-05-06,2010-05-06,2019-09-04,4115,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,"Margot James had the Conservative party whip removed from her in September 2019, and now sits as an independent MP",UK Parliament,https://members.parliament.uk/member/4115/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Margot,James,Stourbridge,Independent,2010-05-06,2019-09-04,2019-10-29,4115,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,"Margot James had the Conservative party whip removed from her in September 2019, and now sits as an independent MP",UK Parliament,https://members.parliament.uk/member/4115/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Margot,James,Stourbridge,Conservative,2010-05-06,2019-10-29,2019-11-06,4115,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,"Margot James had the Conservative party whip restored in October 2019, and now sits as a Conservative MP",UK Parliament,https://members.parliament.uk/member/4115/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Gerald,Jones,Merthyr Tydfil and Rhymney,Labour,2015-05-08,2015-05-08,2024-05-30,4501,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,UK Parliament,https://members.parliament.uk/member/4501/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Gerald,Jones,Merthyr Tydfil and Aberdare,Labour,2015-05-08,2024-07-05,present,4501,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,UK Parliament,https://members.parliament.uk/member/4501/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Daniel,Kawczynski,Shrewsbury and Atcham,Conservative,2005-05-05,2005-05-05,2024-05-30,1566,,Wikipedia,2017-05-27,https://en.wikipedia.org/wiki/Daniel_Kawczynski,,UK Parliament,https://members.parliament.uk/member/1566/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Gerard,Killen,Rutherglen and Hamilton West,Labour,2017-06-09,2017-06-09,2019-11-06,4672,,Pink News,2017-06-05,http://www.pinknews.co.uk/2017/06/05/uk-set-to-break-record-for-highest-number-of-lgbtq-mps-after-general-election/,,UK Parliament,https://members.parliament.uk/member/4672/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Peter,Kyle,Hove,Labour,2015-05-08,2015-05-08,2024-05-30,4505,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,UK Parliament,https://members.parliament.uk/member/4505/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Peter,Kyle,Hove and Portslade,Labour,2015-05-08,2024-05-07,present,4505,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,UK Parliament,https://members.parliament.uk/member/4505/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
David,Laws,Yeovil,Liberal Democrat,2001-06-07,2001-06-07,2015-03-30,1473,Gay,Pink News,2010-09-22,https://www.pinknews.co.uk/2010/09/22/gay-lib-dem-david-laws-wont-return-to-government/,,,,,
Kim,Leadbeater,Batley and Spen,Labour,2021-07-02,2021-07-02,2024-05-30,4923,,Wikipedia,2021-07-02,https://en.wikipedia.org/wiki/Kim_Leadbeater,Multiple additional newspaper sources refer to to Kim’s ‘partner’ or ‘wife’,UK Parliament,https://members.parliament.uk/member/4923/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Kim,Leadbeater,Spen Valley,Labour,2021-07-02,2024-07-05,present,4923,,Wikipedia,2021-07-02,https://en.wikipedia.org/wiki/Kim_Leadbeater,Multiple additional newspaper sources refer to to Kim’s ‘partner’ or ‘wife’.,UK Parliament,https://members.parliament.uk/member/4923/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Simon,Lightwood,Wakefield,Labour,2022-06-23,2022-06-23,2024-05-30,4943,,Wikipedia,2022-09-07,https://en.wikipedia.org/wiki/Simon_Lightwood,"Wikipedia article links to Halifax Courier article, referencing Simon Lightwood’s “husband”",UK Parliament,https://members.parliament.uk/member/4943/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Simon,Lightwood,Wakefield and Rothwell,Labour,2022-06-23,2024-07-05,present,4943,,Wikipedia,2022-09-07,https://en.wikipedia.org/wiki/Simon_Lightwood,"Wikipedia article links to Halifax Courier article, referencing Simon Lightwood’s “husband”",UK Parliament,https://members.parliament.uk/member/4943/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Josh,MacAlister,Whitehaven and Workington,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
Stewart,Malcolm McDonald,Glasgow South,Scottish National,2012-11-29,2012-11-29,2024-05-30,4461,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,UK Parliament,https://members.parliament.uk/member/4461/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Peter,Mandelson,Hartlepool,Labour,1992-04-09,1992-04-09,2004-09-08,500,,LGBT Labour,2019-12-13,http://www.lgbtlabour.org.uk/patrons,,Wikipedia,"https://commons.wikimedia.org/wiki/File:Peter_Mandelson,_September_2008.jpg",Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0),https://creativecommons.org/licenses/by-sa/2.0/deed.en
Gordon,Marsden,Blackpool South,Labour,1997-05-01,1997-05-01,2019-11-06,465,,The Independent,2016-02-20,http://www.independent.co.uk/news/im-gay-and-im-happy-for-my-constituents-to-know-about-it-1164137.html,,UK Parliament,https://members.parliament.uk/member/465/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Sandy,Martin,Ipswich,Labour,2017-06-09,2017-06-09,2019-11-06,4678,,Pink News,2017-06-05,http://www.pinknews.co.uk/2017/06/05/uk-set-to-break-record-for-highest-number-of-lgbtq-mps-after-general-election/,,UK Parliament,https://members.parliament.uk/member/4678/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Keir,Mather,Selby and Ainsty,Labour,2023-07-20,2023-07-20,2024-05-30,4993,Gay,Cherwel,2023-07-20,https://www.cherwell.org/2018/06/01/union-under-fire-for-hosting-anti-lgbtq-speakers-either-side-of-oxford-pride/,Cherwell quotes Keir Mather describing himself as ‘gay man’.,UK Parliament,https://members.parliament.uk/member/4993/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Keir,Mather,Selby,Labour,2023-07-20,2024-07-05,present,4993,Gay,Cherwel,2023-07-20,https://www.cherwell.org/2018/06/01/union-under-fire-for-hosting-anti-lgbtq-speakers-either-side-of-oxford-pride/,Cherwell quotes Keir Mather describing himself as a ‘gay man’.,UK Parliament,https://members.parliament.uk/member/4993/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Martin,McCluskey,Inverclyde and Renfrewshire West,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
Stuart,McDonald,"Cumbernauld, Kilsyth and Kirkintilloch",Scottish National,2015-05-08,2015-05-08,2024-05-30,4393,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,UK Parliament,https://members.parliament.uk/member/4393/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Mark,Menzies,Fylde,Conservative,2010-05-06,2010-05-06,2024-04-17,3998,,Pink News,2017-06-05,http://www.pinknews.co.uk/2017/06/05/uk-set-to-break-record-for-highest-number-of-lgbtq-mps-after-general-election/,Mark Menzies became an independent MP after allegations of misuse of party funds,UK Parliament,https://members.parliament.uk/member/3998/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Mark,Menzies,Fylde,Independent,2010-05-06,2024-04-17,2024-05-30,3998,,Pink News,2017-06-05,http://www.pinknews.co.uk/2017/06/05/uk-set-to-break-record-for-highest-number-of-lgbtq-mps-after-general-election/,Mark Menzies became an independent MP after allegations of misuse of party funds,UK Parliament,https://members.parliament.uk/member/3998/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Damien,Moore,Southport,Conservative,2017-06-09,2017-06-09,2024-05-30,4669,,Pink News,2017-06-05,http://www.pinknews.co.uk/2017/06/05/uk-set-to-break-record-for-highest-number-of-lgbtq-mps-after-general-election/,,UK Parliament,https://members.parliament.uk/member/4669/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Layla,Moran,Oxford West and Abingdon,Liberal Democrat,2017-06-09,2017-06-09,present,4656,Pansexual,Pink News,2020-01-02,https://www.pinknews.co.uk/2020/01/02/layla-moran-liberal-democrats-mp-coming-our-pansexual-girlfriend-exclusive-interview/,Layla Moran came out at pansexual in an interview with PinkNews on 2 January 2020. Her full term of office as an MP is listed in this data set,UK Parliament,https://members.parliament.uk/member/4656/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Stephen,Morgan,Portsmouth South,Labour,2017-06-09,2017-06-09,present,4653,,LGBT Labour,2019-12-13,http://www.lgbtlabour.org.uk/patrons,,UK Parliament,https://members.parliament.uk/member/4653/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Kieran,Mullan,Crewe and Nantwich,Conservative,2019-12-13,2019-12-13,2024-05-30,4860,,Pink News,2019-12-13,https://www.pinknews.co.uk/2019/12/10/general-election-next-parliament-prominent-lgbt-voices/,,UK Parliament,https://members.parliament.uk/member/4860/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Kieran,Mullan,Bexhill and Battle,Conservative,2019-12-13,2024-07-05,present,4860,,Pink News,2019-12-13,https://www.pinknews.co.uk/2019/12/10/general-election-next-parliament-prominent-lgbt-voices/,,UK Parliament,https://members.parliament.uk/member/4860/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
David,Mundell,"Dumfriesshire, Clydesdale and Tweeddale",Conservative,2005-05-05,2005-05-05,present,1512,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,UK Parliament,https://members.parliament.uk/member/1512/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Luke,Murphy,Basingstoke,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
James,Murray,Ealing North,Labour,2019-12-13,2019-12-13,present,4797,,Twitter,2020-05-17,https://twitter.com/jamesmurray_ldn/status/1225686885139460096,,UK Parliament,https://members.parliament.uk/member/4797/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Luke,Myer,Middlesborough South and East Cleveland,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
Josh,Newbury,Cannock Chase,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
Charlotte,Nichols,Warrington North,Labour,2019-12-13,2019-12-13,present,4799,,Huck Mag,2020-05-17,https://www.huckmag.com/perspectives/sorry-but-charlotte-nichols-mp-wont-apologise-to-nazis/,,UK Parliament,https://members.parliament.uk/member/4799/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
John,Nicolson,Dumbartonshire East,Scottish National,2015-05-08,2015-05-08,2017-05-03,4415,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,UK Parliament,https://members.parliament.uk/member/4415/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
John,Nicolson,Ochil and South Perthshire,Scottish National,2019-12-13,2019-12-13,2024-05-30,4415,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,UK Parliament,https://members.parliament.uk/member/4415/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Mark,Oaten,Winchester,Liberal Democrat,1997-05-01,1997-05-01,1997-10-06,63,Gay,Pink News,2019-04-01,https://www.pinknews.co.uk/2019/01/14/mark-oaten-gay-liberal-democrat/,,,,,
Eric,Ollerenshaw,Lancaster and Fleetwood,Conservative,2010-05-06,2010-05-06,2015-03-15,4141,,Wikipedia,2020-01-03,https://en.wikipedia.org/wiki/Eric_Ollerenshaw#cite_note-10,,Wikipedia,https://commons.wikimedia.org/wiki/File:Eric_1.jpg,Public domain,https://en.wikipedia.org/wiki/Public_domain
Kate,Osborne,Jarrow,Labour,2019-12-13,2019-12-13,2024-05-30,4783,Lesbian,Twitter,2020-05-17,https://twitter.com/brooks_OPJ/status/1205468252597575681,Pamela Brooks is Kate Osborne's wife and has tweeted about this on multiple occasions. This information is corroborated by the MP's Wikipedia page.,UK Parliament,https://members.parliament.uk/member/4783/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Kate,Osborne,Jarrow and Gateshead East,Labour,2019-12-13,2024-05-30,present,4783,Lesbian,Twitter,2020-05-17,https://twitter.com/brooks_OPJ/status/1205468252597575681,Pamela Brooks is Kate Osborne's wife and has tweeted about this on multiple occasions. This information is corroborated by the MP's Wikipedia page.,UK Parliament,https://members.parliament.uk/member/4783/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Andrew,Pakes,Peterborough,Labour,2024-07-05,2024-07-05,present,,,Times Higher Education,1988-11-20,https://www.timeshighereducation.com/news/glad-to-be-gay-but-still-unequal/109978.article?storyCode=109978&sectioncode=26,,,,,
Michael,Payne,Gedling,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
Luke,Pollard,Plymouth Sutton and Devonport,Labour,2017-06-09,2017-06-09,present,4682,,Pink News,2017-06-05,http://www.pinknews.co.uk/2017/06/05/uk-set-to-break-record-for-highest-number-of-lgbtq-mps-after-general-election/,,UK Parliament,https://members.parliament.uk/member/4682/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Adam,Price,Carmarthen East and Dinefwr,Plaid Cymru,2001-06-09,2001-06-09,2010-04-12,1401,,Pink News,2020-01-03,https://www.pinknews.co.uk/2018/09/28/adam-price-gay-leader-wales-plaid-cymru/,,Wikipedia,https://commons.wikimedia.org/wiki/File:Adam_Price_2016.jpg,Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0),https://creativecommons.org/licenses/by-sa/3.0/deed.en
Steve,Race,Exeter,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
Steve,Reed,Croydon North,Labour,2017-05-03,2017-05-03,2024-05-30,4268,,Pink News,2012-11-30,http://www.pinknews.co.uk/2012/11/30/london-gay-council-boss-elected-as-Labour-mp-for-croydon-north/,,UK Parliament,https://members.parliament.uk/member/4268/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Steve,Reed,Streatham and Croydon North,Labour,2017-05-03,2024-07-05,present,4268,,Pink News,2012-11-30,http://www.pinknews.co.uk/2012/11/30/london-gay-council-boss-elected-as-Labour-mp-for-croydon-north/,,UK Parliament,https://members.parliament.uk/member/4268/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Rob,Roberts,Delyn,Conservative,2019-12-13,2019-12-13,2021-05-25,4810,,Twitter,2020-05-17,https://twitter.com/RobDelyn/status/1261961467110309888,Rob Roberts came out on IDAHOBIT 2020.,UK Parliament,https://members.parliament.uk/member/4810/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Rob,Roberts,Delyn,Independent,2019-12-13,2021-05-25,2024-05-30,4810,,Twitter,2020-05-17,https://twitter.com/RobDelyn/status/1261961467110309888,Rob Roberts came out on IDAHOBIT 2020. He lost the Conservative Party whip on 25 May 2021.,UK Parliament,https://members.parliament.uk/member/4810/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Tim,Roca,Macclesfield,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
Lee,Rowley,North East Derbyshire,Conservative,2017-06-09,2017-06-09,2024-05-30,4652,,Pink News,2017-06-05,http://www.pinknews.co.uk/2017/06/05/uk-set-to-break-record-for-highest-number-of-lgbtq-mps-after-general-election/,,UK Parliament,https://members.parliament.uk/member/4652/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Lloyd,Russell-Moyle,Brighton Kemptown,Labour,2017-06-09,2017-06-09,2024-05-29,4615,,Pink News,2017-06-05,http://www.pinknews.co.uk/2017/06/05/uk-set-to-break-record-for-highest-number-of-lgbtq-mps-after-general-election/,Lloyd Russell-Moyle was suspended from the Labour Party on 29 May 2024.,UK Parliament,https://members.parliament.uk/member/4615/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Lloyd,Russell-Moyle,Brighton Kemptown,Independent,2017-06-09,2024-05-29,2024-05-30,4615,,Pink News,2017-06-05,http://www.pinknews.co.uk/2017/06/05/uk-set-to-break-record-for-highest-number-of-lgbtq-mps-after-general-election/,Lloyd Russell-Moyle was suspended from the Labour Party on 29 May 2024.,UK Parliament,https://members.parliament.uk/member/4615/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Tom,Rutland,East Worthing and Shoreham,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
Oliver,Ryan,Burnley,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
Gary,Sambrook,Birmingham Northfield,Conservative,2019-12-13,2019-12-13,2024-05-30,4760,,Twitter,2019-12-14,https://twitter.com/GarySambrook89/status/328235991737458688,,UK Parliament,https://members.parliament.uk/member/4760/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Cat,Smith,Lancaster and Fleetwood,Labour,2015-05-08,2015-05-08,2024-05-30,4436,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,UK Parliament,https://members.parliament.uk/member/4436/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Cat,Smith,Lancaster and Wyre,Labour,2015-05-08,2024-07-05,present,4436,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,UK Parliament,https://members.parliament.uk/member/4436/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Chris,Smith,Islington South and Finsbury,Labour,1983-06-10,1983-06-10,2005-04-11,186,,Wikipedia,2020-01-03,"https://en.wikipedia.org/wiki/Chris_Smith,_Baron_Smith_of_Finsbury","According to the source, Chris Smith came out publicly as gay at a rally in 1984. His full term of office is listed in this dataset",UK Parliament,https://members.parliament.uk/member/186/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Alyn,Smith,Stirling,Scottish National,2019-12-13,2019-12-13,2024-05-30,4738,,Pink News,2019-12-13,https://www.pinknews.co.uk/2019/12/10/general-election-next-parliament-prominent-lgbt-voices/,,UK Parliament,https://members.parliament.uk/member/4738/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Blake,Stephenson,Mid Bedfordshire,Conservative,2024-07-05,2024-07-05,present,,,Pink News,2024-07-05,https://www.thepinknews.com/2024/07/05/lgbtq-mps-general-election/,"Andrew Reynolds, writing for Pink News, writes that Blake Stephenson is LGBT+.",,,,
Iain,Stewart,Milton Keynes South,Conservative,2010-05-06,2010-05-06,2024-05-30,4015,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,UK Parliament,https://members.parliament.uk/member/4841/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Wes,Streeting,Ilford North,Labour,2015-05-08,2015-05-08,present,4504,,The Independent,2016-02-20,http://www.independent.co.uk/news/uk/politics/gay-mps-the-photograph-that-shows-westminsters-attitude-towards-lgbt-politicians-is-changing-a6886771.html,,UK Parliament,https://members.parliament.uk/member/4504/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Alan,Strickland,Newton Wycliffe and Spennymoor,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
Rachel,Taylor,North Warwickshire and Bedworth,Labour,2024-07-05,2024-07-05,present,,,LGBT+ Labour,2024-07-05,https://www.lgbtlabour.org.uk/chrissmithlistcandidates,LGBT+ Labour lists this MP as part of the “Chris Smith List”; a list of LGBT+ candidates in receipt of funding from LGBT+ Labour in support of their campaigns.,,,,
Ross,Thomson,Aberdeen South,Conservative,2017-06-09,2017-06-09,2019-11-06,4599,,Pink News,2017-06-05,http://www.pinknews.co.uk/2017/06/05/uk-set-to-break-record-for-highest-number-of-lgbtq-mps-after-general-election/,,UK Parliament,https://members.parliament.uk/member/4599/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Stephen,Twigg,Liverpool West Derby,Labour,2010-05-06,2010-05-06,2019-11-06,167,,The Guardian,2015-05-13,https://www.theguardian.com/world/2015/may/13/quiet-revolution-britain-more-gay-mps-than-anywhere-else-lgbt,,UK Parliament,https://members.parliament.uk/member/167/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Jamie,Wallis,Bridgend and Porthcawl,Conservative,2019-12-13,2019-12-13,2024-05-30,4766,Trans,Twitter,2022-03-30,https://twitter.com/JamieWallisMP/status/1508984487102844931,Jamie shared that they were trans on a post on Twitter on 30 March 2022. Their pronouns at the time of the statement are ‘he/him/his’.,UK Parliament,https://members.parliament.uk/member/4766/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Nadia,Whittome,Nottingham East,Labour,2019-12-13,2019-12-13,present,4869,,Gal Dem,2020-12-11,https://gal-dem.com/nadia-whittome-youngest-labour-mp-community-covers-people-of-colour-division/,,UK Parliament,https://members.parliament.uk/member/4869/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
Stephen,Williams,Bristol West,Liberal Democrat,2005-05-05,2005-05-05,2015-03-30,1492,Gay,Pink News,2015-05-08,https://www.pinknews.co.uk/2015/05/08/first-out-gay-lib-dem-mp-stephen-williams-loses-his-seat/,,,,,
William,Wragg,Hazel Grove,Conservative,2015-05-08,2015-05-08,2024-04-09,4429,,Twitter,2015-11-24,https://twitter.com/william_wragg/status/669302083493961733?lang=en,,UK Parliament,https://members.parliament.uk/member/4429/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
William,Wragg,Hazel Grove,Independent,2015-05-08,2015-04-09,2024-05-30,4429,,Twitter,2015-11-24,https://twitter.com/william_wragg/status/669302083493961733?lang=en,,UK Parliament,https://members.parliament.uk/member/4429/portrait,Attribution 3.0 Unported (CC BY 3.0),https://creativecommons.org/licenses/by/3.0/
